season,yr,mnth,hr,holiday,workingday,weathersit,temp,hum,windspeed,dayOfWeek,days,demand
1,0,1,0,0,0,1,0.24,0.81,0.0,Sat,0,16
1,0,1,1,0,0,1,0.22,0.8,0.0,Sat,0,40
1,0,1,2,0,0,1,0.22,0.8,0.0,Sat,0,32
1,0,1,3,0,0,1,0.24,0.75,0.0,Sat,0,13
1,0,1,4,0,0,1,0.24,0.75,0.0,Sat,0,1
1,0,1,5,0,0,2,0.24,0.75,0.0896,Sat,0,1
1,0,1,6,0,0,1,0.22,0.8,0.0,Sat,0,2
1,0,1,7,0,0,1,0.2,0.86,0.0,Sat,0,3
1,0,1,8,0,0,1,0.24,0.75,0.0,Sat,0,8
1,0,1,9,0,0,1,0.32,0.76,0.0,Sat,0,14
1,0,1,10,0,0,1,0.38,0.76,0.2537,Sat,0,36
1,0,1,11,0,0,1,0.36,0.81,0.2836,Sat,0,56
1,0,1,12,0,0,1,0.42,0.77,0.2836,Sat,0,84
1,0,1,13,0,0,2,0.46,0.72,0.2985,Sat,0,94
1,0,1,14,0,0,2,0.46,0.72,0.2836,Sat,0,106
1,0,1,15,0,0,2,0.44,0.77,0.2985,Sat,0,110
1,0,1,16,0,0,2,0.42,0.82,0.2985,Sat,0,93
1,0,1,17,0,0,2,0.44,0.82,0.2836,Sat,0,67
1,0,1,18,0,0,3,0.42,0.88,0.2537,Sat,0,35
1,0,1,19,0,0,3,0.42,0.88,0.2537,Sat,0,37
1,0,1,20,0,0,2,0.4,0.87,0.2537,Sat,0,36
1,0,1,21,0,0,2,0.4,0.87,0.19399999999999998,Sat,0,34
1,0,1,22,0,0,2,0.4,0.94,0.2239,Sat,0,28
1,0,1,23,0,0,2,0.46,0.88,0.2985,Sat,0,39
1,0,1,0,0,0,2,0.46,0.88,0.2985,Sun,1,17
1,0,1,1,0,0,2,0.44,0.94,0.2537,Sun,1,17
1,0,1,2,0,0,2,0.42,1.0,0.2836,Sun,1,9
1,0,1,3,0,0,2,0.46,0.94,0.19399999999999998,Sun,1,6
1,0,1,4,0,0,2,0.46,0.94,0.19399999999999998,Sun,1,3
1,0,1,6,0,0,3,0.42,0.77,0.2985,Sun,1,2
1,0,1,7,0,0,2,0.4,0.76,0.19399999999999998,Sun,1,1
1,0,1,8,0,0,3,0.4,0.71,0.2239,Sun,1,8
1,0,1,9,0,0,2,0.38,0.76,0.2239,Sun,1,20
1,0,1,10,0,0,2,0.36,0.81,0.2239,Sun,1,53
1,0,1,11,0,0,2,0.36,0.71,0.2537,Sun,1,70
1,0,1,12,0,0,2,0.36,0.66,0.2985,Sun,1,93
1,0,1,13,0,0,2,0.36,0.66,0.1343,Sun,1,75
1,0,1,14,0,0,3,0.36,0.76,0.19399999999999998,Sun,1,59
1,0,1,15,0,0,3,0.34,0.81,0.1642,Sun,1,74
1,0,1,16,0,0,3,0.34,0.71,0.1642,Sun,1,76
1,0,1,17,0,0,1,0.34,0.57,0.19399999999999998,Sun,1,65
1,0,1,18,0,0,2,0.36,0.46,0.3284,Sun,1,53
1,0,1,19,0,0,1,0.32,0.42,0.4478,Sun,1,30
1,0,1,20,0,0,1,0.3,0.39,0.3582,Sun,1,22
1,0,1,21,0,0,1,0.26,0.44,0.3284,Sun,1,31
1,0,1,22,0,0,1,0.24,0.44,0.2985,Sun,1,9
1,0,1,23,0,0,1,0.22,0.47,0.1642,Sun,1,8
1,0,1,0,0,1,1,0.22,0.44,0.3582,Mon,1,5
1,0,1,1,0,1,1,0.2,0.44,0.4179,Mon,2,2
1,0,1,4,0,1,1,0.16,0.47,0.3881,Mon,2,1
1,0,1,5,0,1,1,0.16,0.47,0.2836,Mon,2,3
1,0,1,6,0,1,1,0.14,0.5,0.3881,Mon,2,30
1,0,1,7,0,1,1,0.14,0.5,0.19399999999999998,Mon,2,64
1,0,1,8,0,1,1,0.14,0.5,0.2836,Mon,2,154
1,0,1,9,0,1,1,0.16,0.43,0.3881,Mon,2,88
1,0,1,10,0,1,1,0.18,0.43,0.2537,Mon,2,44
1,0,1,11,0,1,1,0.2,0.4,0.3284,Mon,2,51
1,0,1,12,0,1,1,0.22,0.35,0.2985,Mon,2,61
1,0,1,13,0,1,1,0.24,0.35,0.2836,Mon,2,61
1,0,1,14,0,1,1,0.26,0.3,0.2836,Mon,2,77
1,0,1,15,0,1,1,0.26,0.3,0.2537,Mon,2,72
1,0,1,16,0,1,1,0.26,0.3,0.2537,Mon,2,76
1,0,1,17,0,1,1,0.24,0.3,0.2239,Mon,2,157
1,0,1,18,0,1,1,0.24,0.32,0.1045,Mon,2,157
1,0,1,19,0,1,1,0.2,0.47,0.0,Mon,2,110
1,0,1,20,0,1,1,0.2,0.47,0.1045,Mon,2,52
1,0,1,21,0,1,1,0.18,0.64,0.1343,Mon,2,52
1,0,1,22,0,1,1,0.14,0.69,0.1343,Mon,2,20
1,0,1,23,0,1,1,0.18,0.55,0.1045,Mon,2,12
1,0,1,0,0,1,1,0.16,0.55,0.1045,Tue,2,5
1,0,1,1,0,1,1,0.16,0.59,0.1045,Tue,2,2
1,0,1,2,0,1,1,0.14,0.63,0.1343,Tue,2,1
1,0,1,4,0,1,1,0.14,0.63,0.0896,Tue,3,2
1,0,1,5,0,1,1,0.12,0.68,0.1045,Tue,3,4
1,0,1,6,0,1,1,0.12,0.74,0.1045,Tue,3,36
1,0,1,7,0,1,1,0.12,0.74,0.1343,Tue,3,94
1,0,1,8,0,1,1,0.14,0.69,0.1642,Tue,3,179
1,0,1,9,0,1,1,0.16,0.64,0.2239,Tue,3,100
1,0,1,10,0,1,2,0.16,0.69,0.3284,Tue,3,42
1,0,1,11,0,1,1,0.22,0.51,0.2985,Tue,3,57
1,0,1,12,0,1,1,0.22,0.51,0.1642,Tue,3,78
1,0,1,13,0,1,1,0.24,0.56,0.19399999999999998,Tue,3,97
1,0,1,14,0,1,1,0.26,0.52,0.2239,Tue,3,63
1,0,1,15,0,1,1,0.28,0.52,0.2537,Tue,3,65
1,0,1,16,0,1,1,0.3,0.49,0.2537,Tue,3,83
1,0,1,17,0,1,1,0.28,0.48,0.2239,Tue,3,212
1,0,1,18,0,1,1,0.26,0.48,0.19399999999999998,Tue,3,182
1,0,1,19,0,1,1,0.24,0.48,0.1045,Tue,3,112
1,0,1,20,0,1,1,0.24,0.48,0.1045,Tue,3,54
1,0,1,21,0,1,1,0.22,0.64,0.0,Tue,3,48
1,0,1,22,0,1,1,0.22,0.64,0.0896,Tue,3,35
1,0,1,23,0,1,1,0.2,0.69,0.0896,Tue,3,11
1,0,1,0,0,1,1,0.2,0.64,0.0,Wed,3,6
1,0,1,1,0,1,1,0.16,0.74,0.0896,Wed,3,6
1,0,1,2,0,1,1,0.16,0.74,0.0896,Wed,3,2
1,0,1,4,0,1,1,0.24,0.48,0.2239,Wed,3,2
1,0,1,5,0,1,1,0.22,0.47,0.1642,Wed,4,3
1,0,1,6,0,1,1,0.2,0.47,0.2239,Wed,4,33
1,0,1,7,0,1,1,0.18,0.43,0.19399999999999998,Wed,4,88
1,0,1,8,0,1,1,0.2,0.4,0.2985,Wed,4,195
1,0,1,9,0,1,1,0.22,0.37,0.3284,Wed,4,115
1,0,1,10,0,1,1,0.22,0.37,0.3284,Wed,4,57
1,0,1,11,0,1,1,0.26,0.33,0.3284,Wed,4,46
1,0,1,12,0,1,1,0.26,0.33,0.3284,Wed,4,79
1,0,1,13,0,1,1,0.28,0.3,0.2985,Wed,4,71
1,0,1,14,0,1,1,0.3,0.28,0.19399999999999998,Wed,4,62
1,0,1,15,0,1,1,0.3,0.28,0.19399999999999998,Wed,4,62
1,0,1,16,0,1,1,0.3,0.28,0.0896,Wed,4,89
1,0,1,17,0,1,1,0.24,0.38,0.19399999999999998,Wed,4,190
1,0,1,18,0,1,1,0.24,0.38,0.1343,Wed,4,169
